time,ACCET
1980-01-17 00:00:00,3.6434713261449523
1980-01-17 03:00:00,3.6425657762409305
1980-01-17 06:00:00,3.6428790912687212
1980-01-17 09:00:00,3.6479174155869343
1980-01-17 12:00:00,3.6516925712489394
1980-01-17 15:00:00,3.6448220772280484
1980-01-17 18:00:00,3.7118337951475517
1980-01-17 21:00:00,3.8460254484696725
1980-01-18 00:00:00,3.9012180944120853
1980-01-18 03:00:00,3.897681996635697
1980-01-18 06:00:00,3.8914849420038737
1980-01-18 09:00:00,3.8837954554839484
1980-01-18 12:00:00,3.8865914874476926
1980-01-18 15:00:00,3.8887953984265287
1980-01-18 18:00:00,3.966810726455081
1980-01-18 21:00:00,4.125454505012233
1980-01-19 00:00:00,4.228266023960644
1980-01-19 03:00:00,4.263982114867622
